"","Country","Category","Year","n_3","n_2","n_1","n_0"
"154","belgium","Audit",2000,1,1,1,1
"155","belgium","Audit",2001,1,1,1,0
"156","belgium","Audit",2002,1,1,0,0
"157","belgium","Audit",2003,1,0,0,0
"158","belgium","Audit",2004,0,0,0,0
"159","belgium","Audit",2005,1,0,0,0
"160","belgium","Audit",2006,1,1,0,0
"161","belgium","Audit",2007,1,1,1,0
"162","belgium","Audit",2008,1,1,1,1
"163","belgium","Audit",2009,1,1,1,0
"164","belgium","Audit",2010,1,1,0,0
"165","belgium","Audit",2011,1,0,0,0
"166","belgium","Audit",2012,0,0,0,0
"167","belgium","Audit",2013,2,0,0,0
"168","belgium","Audit",2014,2,2,0,0
"169","belgium","Audit",2015,2,2,2,0
"170","belgium","Audit",2016,2,2,2,2
"171","belgium","Audit",2017,2,2,2,0
"172","belgium","Audit",2018,2,2,0,0
"173","belgium","Audit",2019,2,0,0,0
"174","belgium","Audit",2020,0,0,0,0
"175","belgium","Audit",2021,0,0,0,0
"176","belgium","Audit",2022,0,0,0,0
"177","belgium","Audit",2023,0,0,0,0
"178","belgium","Audit",2024,0,0,0,0
"179","belgium","Audit",2025,0,0,0,0
"180","belgium","Audit",2026,0,0,0,0
"181","belgium","FA",1992,1,1,1,0
"182","belgium","FA",1993,1,1,1,1
"183","belgium","FA",1994,1,1,1,0
"184","belgium","FA",1995,1,1,0,0
"185","belgium","FA",1996,2,0,0,0
"186","belgium","FA",1997,1,1,0,0
"187","belgium","FA",1998,1,1,1,0
"188","belgium","FA",1999,1,1,1,1
"189","belgium","FA",2000,1,1,1,0
"190","belgium","FA",2001,1,1,0,0
"191","belgium","FA",2002,4,0,0,0
"192","belgium","FA",2003,6,3,0,0
"193","belgium","FA",2004,8,6,3,0
"194","belgium","FA",2005,10,8,6,3
"195","belgium","FA",2006,11,10,8,3
"196","belgium","FA",2007,11,11,7,2
"197","belgium","FA",2008,11,8,5,2
"198","belgium","FA",2009,9,5,3,1
"199","belgium","FA",2010,9,4,1,0
"200","belgium","FA",2011,8,5,1,0
"201","belgium","FA",2012,8,5,4,1
"202","belgium","FA",2013,7,7,5,3
"203","belgium","FA",2014,7,7,6,1
"204","belgium","FA",2015,9,6,3,2
"205","belgium","FA",2016,9,5,2,0
"206","belgium","FA",2017,7,5,2,0
"207","belgium","FA",2018,6,4,3,2
"208","belgium","FA",2019,4,4,4,1
"209","belgium","FA",2020,5,4,2,1
"210","belgium","FA",2021,5,3,1,0
"211","belgium","FA",2022,3,2,1,0
"212","belgium","FA",2023,2,1,1,1
"213","belgium","FA",2024,1,1,1,0
"214","belgium","FA",2025,1,1,0,0
"215","belgium","FA",2026,1,0,0,0
"216","belgium","Other",1992,0,0,0,0
"217","belgium","Other",1993,0,0,0,0
"218","belgium","Other",1994,0,0,0,0
"219","belgium","Other",1995,0,0,0,0
"220","belgium","Other",1996,0,0,0,0
"221","belgium","Other",1997,0,0,0,0
"222","belgium","Other",1998,0,0,0,0
"223","belgium","Other",1999,0,0,0,0
"224","belgium","Other",2000,0,0,0,0
"225","belgium","Other",2001,0,0,0,0
"226","belgium","Other",2002,2,0,0,0
"227","belgium","Other",2003,2,2,0,0
"228","belgium","Other",2004,5,2,2,0
"229","belgium","Other",2005,5,5,2,2
"230","belgium","Other",2006,5,5,5,0
"231","belgium","Other",2007,5,5,3,3
"232","belgium","Other",2008,5,3,3,0
"233","belgium","Other",2009,4,3,0,0
"234","belgium","Other",2010,4,1,0,0
"235","belgium","Other",2011,1,1,1,0
"236","belgium","Other",2012,1,1,1,1
"237","belgium","Other",2013,3,1,1,0
"238","belgium","Other",2014,3,3,0,0
"239","belgium","Other",2015,5,2,2,0
"240","belgium","Other",2016,6,4,2,2
"241","belgium","Other",2017,6,6,4,0
"242","belgium","Other",2018,6,6,4,2
"243","belgium","Other",2019,7,4,4,2
"244","belgium","Other",2020,5,5,2,0
"245","belgium","Other",2021,7,3,1,0
"246","belgium","Other",2022,6,3,1,1
"247","belgium","Other",2023,4,4,3,0
"248","belgium","Other",2024,4,4,3,2
"249","belgium","Other",2025,4,3,3,1
"250","belgium","Other",2026,3,3,1,0
"251","belgium","Tax",1992,0,0,0,0
"252","belgium","Tax",1993,0,0,0,0
"253","belgium","Tax",1994,1,0,0,0
"254","belgium","Tax",1995,1,1,0,0
"255","belgium","Tax",1996,1,1,1,0
"256","belgium","Tax",1997,1,1,1,1
"257","belgium","Tax",1998,1,1,1,0
"258","belgium","Tax",1999,1,1,0,0
"259","belgium","Tax",2000,2,0,0,0
"260","belgium","Tax",2001,1,1,0,0
"261","belgium","Tax",2002,2,1,1,0
"262","belgium","Tax",2003,2,2,1,1
"263","belgium","Tax",2004,2,2,2,0
"264","belgium","Tax",2005,3,2,1,1
"265","belgium","Tax",2006,3,2,1,0
"266","belgium","Tax",2007,2,2,1,0
"267","belgium","Tax",2008,2,1,1,1
"268","belgium","Tax",2009,2,1,1,0
"269","belgium","Tax",2010,2,2,0,0
"270","belgium","Tax",2011,2,1,1,0
"271","belgium","Tax",2012,1,1,1,1
"272","belgium","Tax",2013,1,1,1,0
"273","belgium","Tax",2014,2,1,0,0
"274","belgium","Tax",2015,3,1,0,0
"275","belgium","Tax",2016,3,2,1,0
"276","belgium","Tax",2017,4,3,2,1
"277","belgium","Tax",2018,4,4,3,1
"278","belgium","Tax",2019,4,4,3,1
"279","belgium","Tax",2020,5,3,2,1
"280","belgium","Tax",2021,5,3,1,0
"281","belgium","Tax",2022,4,3,1,0
"282","belgium","Tax",2023,3,2,2,1
"283","belgium","Tax",2024,2,2,2,1
"284","belgium","Tax",2025,2,2,1,0
"285","belgium","Tax",2026,2,1,0,0
"286","belgium","FA",1990,1,NA,NA,NA
